Stock_Name,Feature_Vector,MSE,MAPE
RIV,Close,1.000271826858917,6401884849972.004
ANTE,Close,19.953038358470593,7.644265390959855
CSCO,Close,1.0002317457915921,58245375088.06992
PRI,Close,1.0002182196535596,1563835828142.0034
NZF,Close,1.6474516092165823,0.05567385262076428
HLNE,Close,1.014255976567449,17993983030727.18
UNT,Close,1.000875243400918,229419670640.29755
HUBS,Close,1.0364731983813433,2.6449358149583855
GPL,Close,1.698085702662702,16526396703413.926
SBGI,Close,1.00966749045862,7932711750143.127
UFCS,Close,1.001628292517276,476124926316.9669
TEAF,Close,1.1587280734927285,8830621190667.73
RJZ,Close,1.000326141054954,849834670705.1658
GFED,Close,1.532547362741554,297867303656275.94
AIRT,Close,1.0000383374849051,311998895852.0116
SITC,Close,2.1809406082744194,34228898719747.773
NXN,Close,1.2481766827113117,0.03641275503475729
BNY,Close,1.7566626301536414,0.09691016755940787
RHE,Close,3.9890831224164214,0.33064003164550604
ISSC,Close,1.000252562176933,510225457266.00745
KNDI,Close,1.6897218771648528,71146845693576.56
EFT,Close,1.353385777402835,23745192120151.324
TRNS,Close,1.04497325595957,41274630022501.72
CARO,Close,1.004150457588931,1610051763295.6106
NTZ,Close,2.2950714629331515,260156400450438.53
AEIS,Close,1.0000534155302983,149473452848.4368
UAL,Close,1.0050952785636298,252896524521.02463
TROW,Close,1.0002668594661552,422366330321.2178
ISRG,Close,1.0005244017602555,243076898730.59714
EGP,Close,1.0002728368123732,91526876306.65402
EFC,Close,1.0042617429056693,573393252398.0925
EEX,Close,1.400600273050812,6127369805770.543
NVR,Close,1.0002174146241003,2247004409179.239
PLYM,Close,1.0100434017191582,322230957017.0242
TELA,Close,1.2187914334413679,2.677298024119087
FEIM,Close,2.3327607123117784,0.1556635741075319
WOR,Close,1.095058934477713,8400124951128.598
TLRY,Close,1.0082020844132829,46816250430.98253
PRGO,Close,1.0035931475788666,1035782735210.2295
LECO,Close,1.0000932574807317,227518551573.33267
ALTG,Close,6.231583633350066,0.9252448857703819
RPT,Close,1.0152710268275236,2470816972516.4
VCYT,Close,1.0007306520491754,19411430291.26148
USAC,Close,1.0064634880282615,76781827451.59003
COHN,Close,1.089777202596883,63614921763746.28
NBW,Close,3.924149541566821,76467631168583.3
PLOW,Close,1.0018421311286612,1549504513016.813
PIC,Close,1.0302418748289262,250426060272616.72
PRGX,Close,1.0715422364033507,20563807479540.258
ERF,Close,1.000574220321036,1004708686596.3295
IFN,Close,1.0017800789077953,220598419090.07034
FIHD,Close,1.0059682400498828,1.0585850824933811
PHG,Close,1.0005881608243619,43233634555.751526
UVE,Close,1.3252438524000518,42267253592402.33
BUD,Close,1.1293002784632167,15875601895450.89
ORRF,Close,1.0438415629185227,18891648017392.52
NTRSO,Close,1.0159628678478223,0.9961781723232187
PFL,Close,1.0000003057948714,1026978210560.6107
PDS,Close,1.7840109075089698,19872966906979.723
OESX,Close,0.5267359875879217,0.6418989474257218
BLDP,Close,3.9257584215606376,1.4010900349095947
SIBN,Close,1.1380316612233905,33114703142433.285
NOG,Close,1.306761601279871,12828017825069.191
BXC,Close,1.121952587198423,22810431862069.074
CHAP,Close,1.3177892386568117,4424437454731.476
CHNGU,Close,1.9138084513206621,237031559335293.47
KSM,Close,1.0587839306787148,0.07908701293364775
